date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20211210,DAL,93,IND,106,0
20211210,BRK,113,ATL,105,0
20211210,NYK,87,TOR,90,0
20211210,MIL,123,HOU,114,0
20211210,CLE,123,MIN,106,0
20211210,DET,93,NOP,109,0
20211210,LAL,116,OKC,95,0
20211210,BOS,90,PHO,111,0
20211211,ORL,104,LAC,106,0
20211211,UTA,123,WAS,98,0
20211211,SAC,103,CLE,117,0
20211211,HOU,106,MEM,113,0
20211211,CHI,92,MIA,118,0
20211211,GSW,93,PHI,102,0
20211211,DEN,127,SAS,112,0
20211212,MIL,112,NYK,97,0
20211212,BRK,116,DET,104,0
20211212,DAL,103,OKC,84,0
20211212,NOP,97,SAS,112,0
20211212,MIN,116,POR,111,0
20211212,ORL,94,LAL,106,0
20211213,MIA,94,CLE,105,0
20211213,GSW,102,IND,100,0
20211213,SAC,101,TOR,124,0
20211213,HOU,132,ATL,126,0
20211213,MIL,103,BOS,117,0
20211213,PHI,91,MEM,126,0
20211213,CHO,96,DAL,120,0
20211213,WAS,107,DEN,113,0
20211213,PHO,95,LAC,111,0
20211214,TOR,129,BRK,131,0
20211214,GSW,105,NYK,96,0
20211214,PHO,111,POR,107,0
20211215,HOU,89,CLE,124,0
20211215,ATL,111,ORL,99,0
20211215,MIA,101,PHI,96,0
20211215,LAL,107,DAL,104,0
20211215,IND,99,MIL,114,0
20211215,NOP,113,OKC,110,0
20211215,CHO,131,SAS,115,0
20211215,MIN,124,DEN,107,0
20211215,MEM,113,POR,103,0
20211215,WAS,105,SAC,119,0
20211215,LAC,103,UTA,124,0
20211216,DET,113,IND,122,0
20211216,PHI,105,BRK,114,0
20211216,NYK,116,HOU,103,0
20211216,WAS,98,PHO,118,0
20211217,MIA,115,ORL,105,0
20211217,DEN,133,ATL,115,0
20211217,GSW,111,BOS,107,0
20211217,MIL,112,NOP,116,0
20211217,SAS,128,UTA,126,0
20211217,LAL,92,MIN,110,0
