datetime,spread,decimal_odds,vegas_odds,sportsbook,team_abbr,home_abbr,away_abbr,bet_type_id
2014-11-28 18:36:10-05:00,0,1.7692307692307692,-130,Bet365,DET,DET,MIL,1
2014-11-28 18:36:10-05:00,0,2.1,110,Bet365,MIL,DET,MIL,1
2014-11-28 19:38:25-05:00,0,1.78125,-128,Pinnacle,DET,DET,MIL,1
2014-11-28 19:38:25-05:00,0,2.16,116,Pinnacle,MIL,DET,MIL,1
2014-11-28 15:35:28-05:00,0,1.7407407407407407,-135,Intertops,DET,DET,MIL,1
2014-11-28 15:35:28-05:00,0,2.15,115,Intertops,MIL,DET,MIL,1
2014-11-28 15:37:11-05:00,0,1.7407407407407407,-135,Sports Interaction,DET,DET,MIL,1
2014-11-28 15:37:11-05:00,0,2.15,115,Sports Interaction,MIL,DET,MIL,1
2014-11-28 09:01:09-05:00,0,2.25,125,5Dimes,NOP,ATL,NOP,1
2014-11-28 09:01:09-05:00,0,1.7407407407407407,-135,5Dimes,ATL,ATL,NOP,1
2014-11-28 18:36:10-05:00,0,2.25,125,Bet365,NOP,ATL,NOP,1
2014-11-28 18:36:10-05:00,0,1.6896551724137931,-145,Bet365,ATL,ATL,NOP,1
2014-11-28 19:20:01-05:00,0,2.26,126,Pinnacle,NOP,ATL,NOP,1
2014-11-28 19:20:01-05:00,0,1.7194244604316546,-139,Pinnacle,ATL,ATL,NOP,1
2014-11-28 18:37:31-05:00,0,2.25,125,Intertops,NOP,ATL,NOP,1
2014-11-28 18:37:31-05:00,0,1.6896551724137931,-145,Intertops,ATL,ATL,NOP,1
2014-11-28 11:57:11-05:00,0,2.25,125,Sports Interaction,NOP,ATL,NOP,1
2014-11-28 11:57:11-05:00,0,1.6896551724137931,-145,Sports Interaction,ATL,ATL,NOP,1
2014-11-28 19:40:51-05:00,0,2.45,145,5Dimes,DAL,TOR,DAL,1
2014-11-28 19:40:51-05:00,0,1.606060606060606,-165,5Dimes,TOR,TOR,DAL,1
2014-11-28 18:40:52-05:00,0,2.45,145,Bet365,DAL,TOR,DAL,1
